iter	Logloss
0	0.6892673919
1	0.6851308303
2	0.6817570946
3	0.6779646269
4	0.6749124536
5	0.6710252621
6	0.6685061114
7	0.6651076593
8	0.6618023497
9	0.657838704
10	0.6550510625
11	0.6504105654
12	0.6463327564
13	0.6433829096
14	0.6397507821
15	0.6366762796
16	0.6333549696
17	0.6302185869
18	0.6281271739
19	0.6246215107
20	0.6216229285
21	0.6189503711
22	0.6156838637
23	0.6129709843
24	0.6109433107
25	0.6071429234
26	0.6038947667
27	0.6005881545
28	0.598228087
29	0.5963544224
30	0.5928807789
31	0.5900630046
32	0.5880241221
33	0.585969705
34	0.5834498909
35	0.5812667008
36	0.5790071231
37	0.5768561616
38	0.5750134583
39	0.5732587737
40	0.5716829886
41	0.569875164
42	0.5680970116
43	0.5660968286
44	0.5645377105
45	0.5618442404
46	0.5599761175
47	0.5583541995
48	0.5566047846
49	0.5542434489
50	0.5525608321
51	0.5510381681
52	0.5492321082
53	0.548137249
54	0.5461321669
55	0.5436823586
56	0.5419317228
57	0.5403024871
58	0.5388356176
59	0.5371094745
60	0.5349698152
61	0.5338980993
62	0.5321834546
63	0.5308760109
64	0.5297651159
65	0.5283858067
66	0.5268358128
67	0.5258946308
68	0.5246715257
69	0.5233873146
70	0.5224577668
71	0.5211734615
72	0.5201700402
73	0.5190695796
74	0.5179347194
75	0.5166232243
76	0.5153785268
77	0.5138595701
78	0.5126659376
79	0.5113680826
80	0.510111309
81	0.5093013328
82	0.5086768591
83	0.5073986781
84	0.5062099652
85	0.504285921
86	0.5031662451
87	0.5025111867
88	0.501854757
89	0.5017795735
90	0.5007761464
91	0.4999448934
92	0.4989811077
93	0.4976239934
94	0.4964950754
95	0.4955854829
96	0.4945472418
97	0.4936029253
98	0.4923071753
99	0.4916557698
100	0.4904901188
101	0.4898621046
102	0.4891737514
103	0.4880737064
104	0.4869845078
105	0.4860952294
106	0.4846593461
107	0.4838192326
108	0.4832863817
109	0.4828631929
110	0.4822874227
111	0.4814209359
112	0.4807544389
113	0.4802961262
114	0.479770558
115	0.4787503753
116	0.4779717144
117	0.4769385798
118	0.4764404791
119	0.4756311994
120	0.4752125708
121	0.474799249
122	0.4740722045
123	0.4732611228
124	0.472392718
125	0.4717511261
126	0.470877883
127	0.4699882523
128	0.4690334811
129	0.4684391276
130	0.4676507119
131	0.4668492712
132	0.4663304094
133	0.4659810535
134	0.4652066178
135	0.4641277314
136	0.4633494104
137	0.4626913291
138	0.4618992893
139	0.4613486979
140	0.4608285309
141	0.4599831982
142	0.4596103457
143	0.4591712208
144	0.4585059208
145	0.4577371548
146	0.4573105527
147	0.4569417949
148	0.4564374258
149	0.4561309424
150	0.4556903107
151	0.4554895458
152	0.4550151674
153	0.4543586289
154	0.4538845786
155	0.4533909511
156	0.4526221421
157	0.4523148745
158	0.4521499464
159	0.4516779039
160	0.4510894685
161	0.4503089841
162	0.4495836785
163	0.4490824801
164	0.4484042298
165	0.448193121
166	0.4479801679
167	0.4477485132
168	0.4472291212
169	0.4469654311
170	0.4465395759
171	0.4460644983
172	0.4455850141
173	0.445308878
174	0.4447810845
175	0.4444347639
176	0.4439856177
177	0.443430242
178	0.4432191716
179	0.4429936936
180	0.4425972626
181	0.4423728531
182	0.4420181222
183	0.4418558556
184	0.4414135043
185	0.4410782812
186	0.4404990569
187	0.4400237644
188	0.4397409049
189	0.439531016
190	0.4387760635
191	0.4383665469
192	0.4380968511
193	0.4377901414
194	0.4373879493
195	0.4370536488
196	0.4368391304
197	0.4365631846
198	0.4360396519
199	0.4356961502
200	0.4354274848
201	0.4351974099
202	0.434884958
203	0.4347453027
204	0.4344375545
205	0.4341154577
206	0.4338369641
207	0.4332947281
208	0.4331368959
209	0.4327932168
210	0.4323776366
211	0.4321823736
212	0.431918156
213	0.4317655802
214	0.4312885597
215	0.4308565247
216	0.4306961732
217	0.4303517493
218	0.4300117482
219	0.4296377035
220	0.4291813742
221	0.4286443989
222	0.4282328865
223	0.4278688443
224	0.4275156605
225	0.4268323208
226	0.4266921001
227	0.4263298839
228	0.4260540628
229	0.4254999768
230	0.4251925435
231	0.4248706027
232	0.424637406
233	0.4242507492
234	0.4238944385
235	0.4235047473
236	0.4230087469
237	0.422730888
238	0.4225129402
239	0.4222122842
240	0.4220250125
241	0.4218359955
242	0.4216523
243	0.4213398682
244	0.420981124
245	0.4207374308
246	0.4204787237
247	0.4200706217
248	0.419792144
249	0.4196067423
250	0.4191598661
251	0.4186920617
252	0.418201698
253	0.4177594691
254	0.417458377
255	0.4172065339
256	0.4169215017
257	0.4167130532
258	0.4165841348
259	0.416205206
260	0.4160219252
261	0.4157967796
262	0.4156418441
263	0.4154195621
264	0.4152932737
265	0.4150451894
266	0.4148686645
267	0.4145669969
268	0.4144100595
269	0.4141903603
270	0.4137667112
271	0.4133415302
272	0.413032771
273	0.4128010985
274	0.4125556167
275	0.412270654
276	0.4120869212
277	0.4117282864
278	0.4115022894
279	0.4109709491
280	0.4105960392
281	0.4102534732
282	0.4099897409
283	0.4098140454
284	0.409537574
285	0.409317142
286	0.4091278846
287	0.4087913281
288	0.4084064271
289	0.4080766215
290	0.4078591964
291	0.4073605249
292	0.4072156264
293	0.4070114381
294	0.406763505
295	0.4066018276
296	0.4063115392
297	0.4062105822
298	0.4059737149
299	0.4057479781
