iter	RMSE
123	0.2414616199
124	0.2410879964
125	0.2405132651
126	0.2399587881
127	0.2396319194
128	0.2389455093
129	0.238387929
130	0.237942114
131	0.2372450763
132	0.236646584
133	0.2361527548
134	0.2356431292
135	0.2351179599
136	0.2346095492
137	0.234152731
138	0.2336638721
139	0.2332238426
140	0.2327158109
141	0.2322878117
142	0.231761656
143	0.2313519122
144	0.2309341656
145	0.2304793654
146	0.230052672
147	0.2295902552
148	0.2291791115
149	0.2287104115
150	0.2283360501
151	0.2279552212
152	0.2276257351
153	0.2270602928
154	0.2265068079
155	0.2261708721
156	0.2258630078
157	0.2253771389
158	0.2248855098
159	0.2244726465
160	0.2241717984
161	0.2238513875
162	0.2233590773
163	0.2230437205
164	0.2225720651
165	0.2221539845
166	0.2218101998
167	0.2214340403
168	0.2210629022
169	0.2206121878
170	0.2202184185
171	0.2198822812
172	0.2195725675
173	0.2192686646
174	0.2188338103
175	0.2185386002
176	0.2181037372
177	0.2177080092
178	0.217261595
179	0.2168713775
180	0.2166273418
181	0.2163145412
182	0.2160011694
183	0.21565567
184	0.215311541
185	0.2150579717
186	0.2147451081
187	0.2143814914
188	0.2140818443
189	0.2137541785
190	0.2134422242
191	0.2130686591
192	0.2126601928
193	0.2123505361
194	0.2119330203
195	0.2115398456
196	0.2113428373
197	0.211046524
198	0.210682592
199	0.2103140917
200	0.209979062
201	0.2096908591
202	0.2094159296
203	0.2090970791
204	0.2088603219
205	0.2085304456
206	0.2084011076
207	0.2081393441
208	0.2078959716
209	0.2076575591
210	0.2073419536
211	0.207159295
212	0.2069920671
213	0.2067493406
214	0.2064487501
215	0.2061551105
216	0.2059058374
217	0.205716559
218	0.2054488648
219	0.2052241294
220	0.2049841319
221	0.2047299032
222	0.2044187825
223	0.2041590995
224	0.2038690115
225	0.2036401818
226	0.2033952639
227	0.2031514359
228	0.2029371965
229	0.2027574395
230	0.2025931239
231	0.2024151971
232	0.2021932289
233	0.2019363667
234	0.2016971176
235	0.2015253201
236	0.2012510075
237	0.2010420619
238	0.2007546547
239	0.2005943313
240	0.200395895
241	0.2001356907
242	0.1998792803
243	0.1997139829
244	0.1994690881
245	0.1992473544
246	0.1990236793
247	0.1988211599
248	0.1986237192
249	0.1984620784
250	0.1982294843
251	0.1979926045
252	0.1977890963
253	0.1975539415
254	0.1973114396
255	0.1971195769
256	0.1969103252
257	0.1967059778
258	0.1965595786
259	0.1964253148
260	0.1962668428
261	0.1960513732
262	0.1958601757
263	0.1957042671
264	0.1954932069
265	0.1953959601
266	0.1952370617
267	0.1950689645
268	0.1948466645
269	0.194623572
270	0.1944380982
271	0.1942207246
272	0.1940124057
273	0.1938242162
274	0.1936840029
275	0.1935805671
276	0.1934774942
277	0.1933404634
278	0.193204862
279	0.1930085405
280	0.1928961737
281	0.1927421497
282	0.1925936401
283	0.1924377559
284	0.1922551088
285	0.1921370639
286	0.1919825581
287	0.1918152592
288	0.1917028411
289	0.1914453639
290	0.1912653946
291	0.1911085797
292	0.1909480813
293	0.1907573244
294	0.1906071133
295	0.19044785
296	0.1902709295
297	0.1901198348
298	0.1899498848
299	0.1897479507
300	0.1895897982
301	0.1894606589
302	0.1892889182
303	0.1891647166
304	0.1890251186
305	0.1889094404
306	0.1887731446
307	0.1886332026
308	0.1885125949
309	0.1883772591
310	0.1882894754
311	0.1881585062
312	0.1880342317
313	0.1878917501
314	0.1877433724
315	0.187592941
316	0.1874894857
317	0.1873652508
318	0.1872483569
319	0.1871608435
320	0.1869914919
321	0.1868872386
322	0.186769907
323	0.1866608013
324	0.1865114405
325	0.1863778514
326	0.1862877591
327	0.1861580027
328	0.1860799947
329	0.1859604235
330	0.1858453556
331	0.185740497
332	0.1856321816
333	0.1855281375
334	0.1853906902
335	0.1852942497
336	0.1851731813
337	0.1850889842
338	0.1849947748
339	0.1848849554
340	0.1846983384
341	0.1846022176
342	0.1845056303
343	0.1843979432
344	0.1843086027
345	0.184201198
346	0.1840955793
347	0.1839032375
348	0.183807507
349	0.1837155421
350	0.1835441696
351	0.1833837368
352	0.1832270506
353	0.183147808
354	0.1830695608
355	0.1829726191
356	0.1828424683
357	0.1827606813
358	0.1826206752
359	0.1825324225
360	0.1824292427
361	0.1823615473
362	0.1822114016
363	0.182064453
364	0.1819360904
365	0.1818294495
366	0.1816961917
367	0.1815936316
368	0.1815053053
369	0.1813784272
370	0.1812736967
371	0.1811630273
372	0.1810588008
373	0.1809083283
374	0.1807843432
375	0.180644972
376	0.1805328371
377	0.1804390542
378	0.1802868319
379	0.1801226729
380	0.1800309654
381	0.1799247579
382	0.1798378556
383	0.1797341597
384	0.1796333664
385	0.1795533645
386	0.1794835422
387	0.1793738307
388	0.1792719541
389	0.1791484233
390	0.1790443621
391	0.1788943589
392	0.1788090806
393	0.1787268585
394	0.1786357313
395	0.1784794015
396	0.1783941523
397	0.1782296926
398	0.1781463923
399	0.1780151669
400	0.1779301966
401	0.1778368847
402	0.1777098502
403	0.1776287722
404	0.1775233016
405	0.1774376268
406	0.177329688
407	0.1772212956
408	0.1771077283
409	0.1769402955
410	0.1768436338
411	0.1767309135
412	0.1765747957
413	0.1764796978
414	0.176402739
415	0.1763318092
416	0.1762013249
417	0.1760817119
418	0.1760074895
419	0.1759062823
420	0.1758211382
421	0.1757075023
422	0.1755785998
423	0.1755142893
424	0.1754062865
425	0.1753314599
426	0.1752211563
427	0.1751061279
428	0.1750470333
429	0.1749613227
430	0.1749108852
431	0.1748550536
432	0.1747686744
433	0.1746841835
434	0.1745778399
435	0.1744832166
436	0.1744045813
437	0.1742632409
438	0.1742072849
439	0.1741434971
440	0.1740275579
441	0.173953233
442	0.1738269696
443	0.1737627961
444	0.1736782754
445	0.1736032275
446	0.1735284602
447	0.1734329894
448	0.1733149133
449	0.1732359678
450	0.1731389956
451	0.173004753
452	0.1729623248
453	0.1729151185
454	0.172855192
455	0.1727527915
456	0.1726330242
457	0.1725579592
458	0.172437996
459	0.1723837554
460	0.1723192165
461	0.1722387706
462	0.1721681657
463	0.1720939821
464	0.1719771357
465	0.1719034484
466	0.1718278221
467	0.1717414847
468	0.1716698178
469	0.1715456791
470	0.1714511202
471	0.1713849067
472	0.1712686126
473	0.1711719492
474	0.1710857324
475	0.1710473122
476	0.1709785583
477	0.1709188003
478	0.1708572723
479	0.1707886652
480	0.1707192604
481	0.1705623108
482	0.1704361376
483	0.170353281
484	0.1702920157
485	0.1702245861
486	0.1701385227
487	0.1700038882
488	0.1699334073
489	0.1698233765
490	0.1697575332
491	0.1696397511
492	0.1695808939
493	0.1695304016
494	0.1694249476
495	0.1693555282
496	0.1692696977
497	0.169211071
498	0.1691654443
499	0.1691104346
336978
